Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2009-10,SB 6463,6463,,,,,2010-03-15,0,0,SB 6463,"By resolution, reintroduced and retained in present status.",0,S GovtOp & Elect,0,0,2010-01-14,AN ACT Relating to property access during forest fires;,0,Authorizing property access during forest fires.,Senate,1577,S-3881.1,0,0,0,0,Forest fires/property access,Bill,B,(Honeyford),0,0
1,0,2009-10,SB 6464,6464,,,,,2010-03-15,0,0,SB 6464,"By resolution, reintroduced and retained in present status.",0,S Env/Water/Ener,0,0,2010-01-14,AN ACT Relating to clarifying when a water right is relinquished;,0,Clarifying when a water right is relinquished.,Senate,1666,S-3805.1,0,0,0,0,Water right relinquishment,Bill,B,(Swecker),0,0
1,0,2009-10,SB 6465,6465,,,,,2010-03-15,0,0,SB 6465,"By resolution, reintroduced and retained in present status.",0,S Transportation,0,0,2010-01-14,AN ACT Relating to commercial activity at state-owned safety rest areas;,0,Authorizing certain commercial activity at state-owned safety rest areas.,Senate,655,S-3303.1,0,0,0,0,State-owned safety rest area,Bill,B,(Shin),0,0
1,0,2009-10,SB 6466,6466,,2009-10,HB 3133,HTrans,2010-03-15,0,0,SB 6466,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to advertising on school buses;,0,Authorizing advertising on school buses.,Senate,655,S-3652.1,0,0,0,0,Advertising on school buses,Bill,B,(Shin),1,0
1,0,2009-10,SSB 6466,6466,,,,,2010-03-15,0,0,SSB 6466,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-28,AN ACT Relating to advertising on school buses;,0,Authorizing advertising on school buses.,Senate,655,S-4001.4,0,0,0,0,Advertising on school buses,Bill,B,EDU(Shin),1,1
1,0,2009-10,SB 6467,6467,,,,,2010-03-12,0,0,SB 6467,Effective date 6/10/2010.,0,C 51 L 10,0,0,2010-01-14,AN ACT Relating to honorary degrees for students who were ordered into internment camps;,0,Authorizing honorary degrees for students who were ordered into internment camps.,Senate,655,S-3765.1,0,0,0,0,Honorary degrees,Bill,B,(Shin),0,0
0,0,2009-10,SB 6468,6468,,,,,2010-02-12,0,0,SB 6468,1st substitute bill substituted.,0,S subst for,0,0,2010-01-14,AN ACT Relating to coordinating the weatherization and structural rehabilitation of residential structures;,0,Coordinating the weatherization and structural rehabilitation of residential structures.,Senate,12073,S-3505.2,0,0,0,0,Weatherization/residential,Bill,B,(Kauffman),1,0
1,0,2009-10,ESSB 6468,6468,,,,,2010-04-01,1,1,ESSB 6468,Effective date 6/10/2010.,0,C 287 L 10,0,1,2010-02-04,AN ACT Relating to coordinating the weatherization and structural rehabilitation of residential structures;,0,Coordinating the weatherization and structural rehabilitation of residential structures.,Senate,12073,S-4510.1,0,0,0,0,Weatherization/residential,Bill,B,(Kauffman),1,1
1,0,2009-10,SB 6469,6469,,,,,2010-03-15,0,0,SB 6469,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to filling vacancies on the racial disproportionality advisory committee;,0,Filling vacancies on the racial disproportionality advisory committee.,Senate,12073,S-3793.1,0,0,0,0,Racial dispr. advisory comm,Bill,B,(Kauffman),0,0
1,0,2009-10,SSB 6469,6469,,,,,2010-03-15,0,0,SSB 6469,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-02-04,AN ACT Relating to filling vacancies on the racial disproportionality advisory committee;,0,Filling vacancies on the racial disproportionality advisory committee.,Senate,12073,S-4456.1,0,0,0,0,Racial dispr. advisory comm,Bill,B,(Kauffman),0,1
