group,groupDesc,longDesc,passedId,num,ver,status.cat,status.comm,status.first,status.chamber,actionLine,active,sponsor,intro,action,fn,req,approp,current,prefiled,rcws
"2066","Sales tax holiday","Providing financial relief for families by establishing a sales tax holiday for back-to-school shopping.","","2066","HB 2066","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Couture","2025-03-31","2025-03-31","","","0","0","0","82.08|82.12"
"2067","Document recording fee","Concerning the document recording fee.","","2067","HB 2067","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Manjarrez","2025-03-31","2025-03-31","","","0","0","0","36.18.010|36.22.170|36.22.175|36.22.181|36.22.185|36.22.240|36.22.250"
"2068 / 5803","Tobacco & nicotine products","Regulating tobacco and nicotine products.","","2068","HB 2068","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Reeves","2025-04-01","2025-04-01","SFN","","0","0","0","26.28.080|70|70.155.010|70.155.020|70.155.090|70.155.100|70.345|70.345.030|70.345.040|70.345.050|70.345.060|70.345.070|70.345.120|70.345.180|82.24|82.24.520|82.24.530|82.25.005|82.25.010|82.25.030|82.25.095|82.25.110|82.26.010|82.26.020|82.26.030|82.26.060|82.26.160|82.26.170|82.26.190|82.26.200|82.26.240|82.26.260"
"2068 / 5803","Tobacco & nicotine products","Regulating tobacco and nicotine products.","","2068","SB 5803","COMMITTEE","WM","true","S","First reading, referred to Ways & Means.","1","Nobles","2025-03-29","2025-03-29","SFN","","0","0","0","26.28.080|70|70.155.010|70.155.020|70.155.090|70.155.100|70.345|70.345.030|70.345.040|70.345.050|70.345.060|70.345.070|70.345.120|70.345.180|82.24|82.24.520|82.24.530|82.25.005|82.25.010|82.25.030|82.25.095|82.25.110|82.26.010|82.26.020|82.26.030|82.26.060|82.26.160|82.26.170|82.26.190|82.26.200|82.26.240|82.26.260"
"2069","Precious metal bullion","Concerning the taxation of precious metal bullion made of gold and silver and monetized bullion, and providing that the use of bullion as tender is voluntary.","","2069","HB 2069","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Chase","2025-04-03","2025-04-03","","","0","0","0","43|82.04.062|84.36.070"
"2070","WWU state funding parity","Providing state funding parity for Western Washington University.","","2070","HB 2070","COMMITTEE","PEW","true","H","First reading, referred to Postsecondary Education & Workforce.","1","Timmons","2025-04-04","2025-04-04","","","0","0","0",""
"2071","Online dating/excise tax","Generating resources to combat domestic violence by imposing an excise tax on owners of online dating applications.","","2071","HB 2071","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Davis","2025-04-08","2025-04-08","SFN","","0","0","0",""
"2072","Opioid impact fee","Sustaining and expanding behavioral health services by levying an opioid impact fee on opioid manufacturers.","","2072","HB 2072","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Davis","2025-04-08","2025-04-08","SFN","","0","0","0","69|70.225.040"
"2073 / 5808","Health carrier surpluses","Funding health insurance premium assistance.","","2073","HB 2073","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Parshley","2025-04-08","2025-04-08","","","0","0","0",""
"2073 / 5808","Health carrier surpluses","Funding health insurance premium assistance.","","2073","SB 5808","COMMITTEE","WM","true","S","First reading, referred to Ways & Means.","1","Robinson","2025-04-08","2025-04-08","SFN","","0","0","0",""
"2074","Electors/influencing","Prohibiting the offer or acceptance of anything of value to influence the judgment or conduct of an elector in voting for or against any person or ballot measure.","","2074","HB 2074","COMMITTEE","CS","true","H","First reading, referred to Community Safety.","1","Thai","2025-04-09","2025-04-09","","","0","0","0","29a.84.620|9a.08.030"
"2075","High THC cannabis excise tax","Increasing the cannabis excise tax on high THC cannabis products.","","2075","HB 2075","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Davis","2025-04-09","2025-04-09","SFN","","0","0","0",""
"2076","Government efficiency, dept.","Creating the Washington department of government efficiency.","","2076","HB 2076","COMMITTEE","SGTR","true","H","First reading, referred to State Government & Tribal Relations.","1","Walsh","2025-04-12","2025-04-12","","","0","0","0","34.05|43|43.88.230|44.04.260|44.80.020|44.90.020"
"2077 / 5811","Zero-emission vehicle prg.","Establishing a tax on certain business activities related to surpluses generated under the zero-emission vehicle program.","","2077","HB 2077","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Fitzgibbon","2025-04-14","2025-04-22","SFN","","0","0","0","42.56.270|82"
"2077 / 5811","Zero-emission vehicle prg.","Establishing a tax on certain business activities related to surpluses generated under the zero-emission vehicle program.","","2077","SB 5811","COMMITTEE","WM","true","S","First reading, referred to Ways & Means.","1","Lovelett","2025-04-16","2025-04-16","SFN","","0","0","0","42.56.270|82"
"2077","Zero-emission vehicle prg.","Establishing a tax on certain business activities related to surpluses generated under the zero-emission vehicle program.","SHB 2077","2077","SHB 2077","ENACTED","","","","Effective date 5/20/2025.","1","Fitzgibbon","2025-04-19","2025-05-20","SFN","","0","0","0","42.56.270|82"
"2078","Medical cannabis","Expanding access to medical cannabis consultants and department of health compliant cannabis product.","","2078","HB 2078","COMMITTEE","CPB","true","H","First reading, referred to Consumer Protection & Business.","1","Kloba","2025-04-15","2025-04-15","","","0","0","0","69.50.325|69.50.375|69.51a.230|69.51a.290|69.51a.310"
"2079","Alcohol taxes","Increasing alcohol taxes.","","2079","HB 2079","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Davis","2025-04-16","2025-04-16","SFN","","0","0","0","66.24.210|66.24.290|82.02.030"
