Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
0,0,2005-06,SB 6785,6785,,2005-06,HB 3240,HTrans,2006-02-11,0,0,SB 6785,1st substitute bill substituted.,0,S subst for,0,0,2006-01-23,AN ACT Relating to the administration of fuel taxes;,1,Modifying the administration of fuel taxes.,Senate,207,Z-1156.2,0,1,0,0,Fuel tax administration,Bill,B,(Jacobsen),1,0
1,0,2005-06,SSB 6785,6785,,,,,2006-03-08,0,1,SSB 6785,"By resolution, returned to Senate Rules Committee for third reading.",0,S Rules 3,0,0,2006-02-03,AN ACT Relating to the administration of fuel taxes;,0,Modifying the administration of fuel taxes.,Senate,207,S-4656.2,0,1,0,0,Fuel tax administration,Bill,B,TRAN(Jacobsen),1,1
1,0,2005-06,SB 6786,6786,,,,,2006-02-24,0,0,SB 6786,"Senate Rules ""X"" file.",0,S Rules X,0,0,2006-01-23,AN ACT Relating to city transportation authority dissolution;,0,Clarifying the dissolution process for a voter-mandated dissolution of a city transportation authority.,Senate,207,S-4253.2,0,0,0,0,City trans authority,Bill,B,(Jacobsen),0,0
1,0,2005-06,SSB 6786,6786,,,,,2006-02-24,0,0,SSB 6786,"Senate Rules ""X"" file.",0,S Rules X,0,0,2006-02-07,AN ACT Relating to city transportation authority dissolution;,0,Clarifying the dissolution process for a voter-mandated dissolution of a city transportation authority.,Senate,207,S-5117.1,0,0,0,0,City trans authority,Bill,B,TRAN(Jacobsen),0,1
0,0,2005-06,SB 6787,6787,,,,,2006-02-22,0,0,SB 6787,1st substitute bill substituted.,0,S subst for,0,0,2006-01-23,AN ACT Relating to local government passenger ferry service funding;,0,Modifying funding for local government passenger ferry service.,Senate,3481,S-4023.2,0,0,0,0,Passenger ferry service,Bill,B,(Rockefeller),1,0
1,0,2005-06,ESSB 6787,6787,,,,,2006-03-29,1,1,ESSB 6787,Effective date 6/7/2006.,0,C 332 L 06,0,1,2006-02-17,AN ACT Relating to local government passenger ferry service funding;,0,Providing funding for local government passenger ferry service.,Senate,3481,S-5302.1,0,0,0,0,Passenger ferry service,Bill,B,WM(Rockefeller),0,1
1,0,2005-06,SB 6788,6788,,,,,2006-01-23,0,0,SB 6788,"First reading, referred to Government Operations & Elections.",0,S Govt Op & El,0,0,2006-01-23,AN ACT Relating to assistance to financially distressed counties.,0,Relating to assistance to financially distressed counties.,Senate,2168,S-4553.1,0,0,0,0,Distressed counties T.O.,Bill,B,(Kastama),0,0
1,0,2005-06,SB 6789,6789,,2005-06,HB 2988,HRules R,2006-03-08,0,0,SB 6789,Referred to Rules.,0,S Rules 2,0,0,2006-01-23,AN ACT Relating to the authorized uses of county sales and use taxes imposed under RCW 82.14.450;,1,Modifying the authorized uses of certain county sales and use taxes.,Senate,618,S-4495.1,0,0,0,0,County sales & use taxes,Bill,B,(Brown),1,0
1,0,2005-06,SSB 6789,6789,,,,,2006-03-08,0,0,SSB 6789,Referred to Rules.,0,S Rules 2,0,0,2006-02-07,AN ACT Relating to the authorized uses of county sales and use taxes imposed under RCW 82.14.450;,0,Modifying the authorized uses of certain county sales and use taxes.,Senate,618,S-5128.1,0,0,0,0,County sales & use taxes,Bill,B,WM(Brown),0,1
1,0,2005-06,SB 6790,6790,,,,,2006-02-23,0,0,SB 6790,"Senate Rules ""X"" file.",0,S Rules X,0,0,2006-01-23,AN ACT Relating to first aid classes for high school students;,0,Studying whether to require a class in first aid for high school graduation.,Senate,361,S-3557.2,0,0,0,0,First aid classes,Bill,B,(Roach),0,0
0,0,2005-06,SB 6791,6791,,2005-06,HB 3255,HCommerce/Lab,2006-02-13,0,0,SB 6791,1st substitute bill substituted.,0,S subst for,0,0,2006-01-24,AN ACT Relating to liquor licenses issued to entities providing concession services on vessels owned by the Washington state ferries;,0,Allowing the sale of alcoholic beverages on state ferries.,Senate,1658,S-4434.1,0,0,0,0,Ferries/liquor licenses,Bill,B,(Poulsen),0,0
